state,total_deposits_millions,nonint_deposits_millions,institution_count,nonint_per_inst,nonint_to_total_ratio,max_annual_wage,dominant_sector,Tech,Healthcare,Legal,norm_total_deposits,norm_nonint_per_inst,norm_max_wage,norm_nonint_ratio,target_score
NORTH CAROLINA,2632073.58,776663.19,43,18061.93465116279,0.2950765494937265,114310.0,Legal,112980.0,100480.0,114310.0,72.70174341305136,100.0,23.298713377770888,68.79046878275994,66.59
OHIO,3619558.62,895735.32,170,5269.031294117647,0.24747086980456195,117480.0,Legal,102950.0,101400.0,117480.0,100.0,28.89088005963762,25.755696791195167,55.83197202656815,57.04
SOUTH DAKOTA,2788432.21,597282.31,58,10297.970862068967,0.21420004684280994,106800.0,Legal,92550.0,95670.0,106800.0,77.02415623798262,56.844148909538674,17.477910401488142,46.77549275265021,52.56
NEW YORK,1440904.34,186528.25,137,1361.5200729927008,0.12945220915914515,176900.0,Legal,133590.0,124400.0,176900.0,39.772795393747074,7.171050218332176,71.81057200434041,23.70672056225968,37.22
DELAWARE,1005197.9,188089.92,26,7234.227692307692,0.18711730297088763,133810.0,Legal,117790.0,111860.0,133810.0,27.728029433843577,39.814388389613896,38.41264920167416,39.4034386006126,35.17
DISTRICT OF COLUMBIA,2166.29,529.64,4,132.41,0.24449173471695848,213270.0,Legal,137440.0,114690.0,213270.0,0.0,0.33906429918480663,100.0,55.021037015850226,33.34
CALIFORNIA,457109.53,132067.95,134,985.5817164179106,0.2889197037742792,174130.0,Legal,151880.0,133180.0,174130.0,12.576552347585698,5.081403721226605,69.66361804371415,67.11454553568592,33.16
MASSACHUSETTS,393047.98,67358.12,103,653.9623300970874,0.17137378495114006,168560.0,Legal,133220.0,121370.0,168560.0,10.805620578069838,3.2381034118054077,65.3464579135018,35.11797668678173,26.2
ALASKA,8026.41,3288.67,5,657.734,0.4097311251231871,129930.0,Healthcare,93260.0,129930.0,128970.0,0.1619984636833683,3.259068170157465,35.4053635095334,100.0,24.72
ILLINOIS,573119.47,128713.28,361,356.54648199445984,0.22458368060676773,141420.0,Legal,110830.0,103780.0,141420.0,15.783556991176567,1.5849228456247488,44.31095954115641,49.60196819268802,24.44
COLORADO,83786.57,19563.2,70,279.4742857142857,0.23348849344232614,162080.0,Legal,128910.0,111430.0,162080.0,2.2563292160239645,1.1565184485622257,60.323980778173926,52.02590140816826,23.96
TEXAS,881718.58,156608.93,386,405.72261658031084,0.17761781769416723,132190.0,Legal,113980.0,101500.0,132190.0,24.314539584375133,1.8582674926428888,37.157029917842195,36.81763266426986,23.79
RHODE ISLAND,193004.81,43190.78,7,6170.111428571428,0.22378084774156665,114040.0,Healthcare,112970.0,114040.0,107220.0,5.2755825907332525,33.89951754938034,23.08944349713223,49.38343319544819,23.5
HAWAII,60423.61,18415.64,7,2630.805714285714,0.30477556703414443,128080.0,Healthcare,103410.0,128080.0,105000.0,1.6104783414521144,14.226351300988997,33.971477290342584,71.43058836841435,23.33
OREGON,48968.08,16161.87,16,1010.116875,0.3300490850366198,133780.0,Healthcare,120570.0,133780.0,116610.0,1.2937991163374862,5.21778195263166,38.38939699271431,78.31016246946798,23.1
WASHINGTON,77167.3,20464.52,39,524.731282051282,0.26519678672183683,145450.0,Tech,145450.0,129710.0,129230.0,2.073344640502403,2.5197749886920433,47.434506278096414,60.65705252899639,22.31
VIRGINIA,617756.07,83078.87,62,1339.9817741935483,0.13448491084838712,137770.0,Legal,130240.0,107020.0,137770.0,17.017501112465727,7.051329977361479,41.481940784374515,25.076646355584014,21.85
GEORGIA,131675.56,34909.5,144,242.42708333333334,0.2651175358585906,139990.0,Legal,111760.0,106250.0,139990.0,3.580183131532211,0.950592249947488,43.20260424740351,60.63548005989171,21.39
NEW JERSEY,150955.75,30328.58,53,572.2373584905661,0.20091039923951226,143410.0,Legal,125030.0,116690.0,143410.0,4.113169002047394,2.7838366479679038,45.85335606882654,43.157986260090624,20.07
CONNECTICUT,91911.79,18407.08,29,634.7268965517242,0.20026897528597803,135690.0,Legal,117690.0,113290.0,135690.0,2.4809446090687097,3.131183605338736,39.869787629824835,42.98338755095574,18.07
NEW MEXICO,13371.28,4805.21,30,160.17366666666666,0.359367988704148,109100.0,Legal,105350.0,103260.0,109100.0,0.3097532415014548,0.49338813388312847,19.26057975507673,86.29091015653943,17.99
VERMONT,6637.14,1399.62,12,116.63499999999999,0.21087697411837023,139760.0,Legal,105240.0,111340.0,139760.0,0.12359317409179114,0.25137924945436657,43.02433731204464,45.870936250119215,17.74
PENNSYLVANIA,259141.8,51921.06,127,408.82724409448815,0.20035771921010043,127170.0,Legal,105590.0,99880.0,127170.0,7.103888286289366,1.8755245080454328,33.266160285227095,43.007544077243786,17.72
UTAH,843101.8,42574.47,42,1013.6778571428572,0.05049742510335051,124720.0,Legal,109770.0,99570.0,124720.0,23.24700870917145,5.237575606912842,31.367229886839247,2.21484564831506,17.62
MINNESOTA,107865.04,22109.94,253,87.39106719367588,0.2049778130152272,133860.0,Legal,110360.0,121590.0,133860.0,2.9219598085452896,0.08882738242196234,38.451402883273914,44.265156004600925,17.3
ALABAMA,184906.95,57018.1,96,593.9385416666667,0.3083610432166016,103940.0,Tech,103940.0,85700.0,99500.0,5.051723543627904,2.9044622787765104,15.26119981398233,72.40657236408765,17.17
MISSOURI,208789.53,50971.06,209,243.88066985645932,0.24412651343197142,117670.0,Legal,98780.0,92930.0,117670.0,5.711938909319244,0.9586719841197732,25.90296078127422,54.921622011848626,16.95
ARIZONA,58915.4,15661.88,15,1044.1253333333332,0.265836776123051,114590.0,Legal,109840.0,111280.0,114590.0,1.5687850479851047,5.406817347890862,23.515733994729498,60.831260746036484,16.9
MARYLAND,49315.17,10802.93,30,360.09766666666667,0.21905896299252342,129350.0,Tech,129350.0,115130.0,128120.0,1.3033941496746635,1.6046620408440473,34.955820802976284,48.09811327977613,16.81
IDAHO,9368.95,3158.39,11,287.12636363636364,0.3371124832558611,104140.0,Tech,104140.0,101480.0,92870.0,0.1991119387373722,1.1990523841019154,15.416214540381338,80.23285370104728,16.26
FLORIDA,240488.28,49732.13,89,558.7879775280899,0.2067964808929566,115640.0,Legal,107320.0,101080.0,115640.0,6.588226220958454,2.709078509233301,24.32956130832429,44.760206216004825,15.78
INDIANA,148758.43,29434.5,93,316.5,0.1978677779807168,123780.0,Legal,92570.0,104280.0,123780.0,4.052425798116291,1.362325205991571,30.638660672763912,42.32977000585667,15.77
WISCONSIN,122411.35,23521.95,162,145.19722222222222,0.1921549758253626,126780.0,Legal,100160.0,111190.0,126780.0,3.324081245011099,0.41014184064089176,32.96388156874903,40.7747175692086,15.62
TENNESSEE,189314.16,42283.66,121,349.45173553719013,0.22335180844370014,115000.0,Legal,96500.0,96700.0,115000.0,5.173557439372355,1.545486826865284,23.833514183847466,49.2666466190148,15.55
MONTANA,58705.91,16744.61,37,452.55702702702706,0.2852286933291725,106440.0,Healthcare,92660.0,106440.0,94350.0,1.5629938597232556,2.1185957087516782,17.198883893969928,66.10983460219467,15.29
MICHIGAN,51896.64,12513.03,79,158.39278481012659,0.24111445365249082,114330.0,Legal,101680.0,101400.0,114330.0,1.3747568818447735,0.48348913457062415,23.31421485041079,54.10172474041571,14.55
NEW HAMPSHIRE,13790.39,2426.03,19,127.68578947368422,0.17592178321280255,127090.0,Legal,116440.0,115890.0,127090.0,0.3213392117741345,0.31280486115393075,33.2041543946675,36.3559638577607,13.95
SOUTH CAROLINA,50360.71,12914.22,45,286.98266666666666,0.25643443072982886,103660.0,Tech,103660.0,97990.0,98280.0,1.3322972905181119,1.1982536471171932,15.044179197023716,58.27189675681912,13.27
OKLAHOMA,145269.49,37904.87,178,212.94870786516856,0.2609279484632321,97350.0,Legal,90640.0,92540.0,97350.0,3.955976762962838,0.7867372376559754,10.153464579135017,59.4950540639387,13.04
MAINE,33179.13,6556.18,23,285.0513043478261,0.19759951511688223,114930.0,Healthcare,98380.0,114930.0,104670.0,0.8573258626884963,1.1875182049000752,23.779259029607815,42.2567475540504,12.88
WEST VIRGINIA,36502.21,10331.73,47,219.82404255319148,0.2830439581603415,94930.0,Healthcare,92890.0,94930.0,94040.0,0.9491898270265862,0.8249536600986194,8.277786389707021,65.51513909982422,12.44
LOUISIANA,63129.89,15648.32,109,143.56256880733946,0.24787497649687018,100640.0,Legal,86500.0,89690.0,100640.0,1.6852913490862629,0.4010556494538219,12.703456828398698,55.9419718269202,12.26
NEBRASKA,87370.95,17632.07,149,118.33604026845637,0.20180700793570402,108210.0,Legal,93780.0,102670.0,108210.0,2.355416615813967,0.26083445075598805,18.570764222601145,43.402047493057715,12.04
KENTUCKY,64171.59,15940.45,122,130.6594262295082,0.248403538076585,98570.0,Healthcare,94100.0,98570.0,97070.0,1.7140883361136554,0.3293337668157177,11.099054410168966,56.085848850857346,11.87
WYOMING,9104.34,2083.11,26,80.11961538461539,0.22880406487455435,103960.0,Healthcare,95500.0,103960.0,90980.0,0.19179700090755708,0.048409150188049976,15.27670128662223,50.750777246588456,11.51
NEVADA,30343.9,1285.39,18,71.41055555555556,0.042360738072561535,141820.0,Legal,99740.0,102450.0,141820.0,0.7789481325073745,0.0,44.62098899395443,0.0,11.43
MISSISSIPPI,140591.87,37082.64,62,598.1070967741936,0.2637609130599088,84250.0,Healthcare,81070.0,84250.0,81680.0,3.8266675928955705,2.9276331162983853,0.0,60.26620075853777,11.11
KANSAS,77410.26,16514.56,204,80.95372549019608,0.21333812856331968,101750.0,Legal,98170.0,94150.0,101750.0,2.0800610809057587,0.053045535993977426,13.563788559913192,46.54087441925377,11.11
NORTH DAKOTA,49731.1,9417.75,63,149.48809523809524,0.18937345041633907,105420.0,Healthcare,88360.0,105420.0,100410.0,1.3148922113184223,0.4339925800249697,16.408308789334985,40.01757287081455,10.67
ARKANSAS,135803.47,25063.8,82,305.6560975609756,0.18455934888850778,98060.0,Legal,90340.0,88470.0,98060.0,3.6942959958119888,1.3020495721001037,10.703766857851496,38.70715110098151,10.1
IOWA,102231.6,17677.12,241,73.34904564315352,0.17291248498507308,97870.0,Legal,96030.0,93520.0,97870.0,2.766227737315958,0.010775061789730065,10.556502867772439,35.53681829409969,8.94
